url,type,title,category,subcategory,votes,private,created_at,text,user_from,user_from_role,user_to,user_to_role,thread_id
https://us.edstem.org/courses/2345/discussion/108647,announcement,Welcome,General,,1,False,2020-08-19T06:46:30.856664+10:00,"Hi everyone,

We're using Ed Discussion for Q&A this semester.

This is the best place to ask questions about the course, whether curricular or administrative. You will get faster answers here from staff and peers than through email.

Here are some tips:

Search before you post

Heart questions and answers you find useful

Answer questions you feel confident answering

Share interesting course related content with staff and peers

For more information on Ed Discussion, you can refer to the Quick Start Guide.

All the best this semester!

Shu-Yi

",Shu-Yi,admin,,,2345/discussion/108647
https://us.edstem.org/courses/2345/discussion/129717,post,Discussion Forum Guideline,General,,3,False,2020-09-21T11:09:21.403595+10:00,"Discussion forum Guideline: 
The discussion forums are a way for you to share your thoughts about course material, learn from your fellow students, get to know them better, and report problems.
If you have an urgent matter -- such as needing to report a video or other course component that isn't working properly -- you can get the attention of course staff by creating a new post and putting [STAFF] in the title.
 
There are a few other ways you can participate:
 
Select the ""heart"" icon to like  posts and good responses (so the post will move closer to the top of the discussion thread)
 
Select the “star” icon to follow posts for updates
 
Use “watch” to be notified of all activities in the thread
 
You are part of a diverse learning community that forms the heart of a meaningful learning experience. Be it online or in person, a healthy online learning community starts with some basics:
Be respectful. Please respect your fellow students. Debate and pushing on ideas is part of a healthy and thriving learning community, but only when that is done in a polite and respectful manner. Insulting, condescending or abusive words will not be tolerated and will be reported and removed.
Be constructive. A learning community is about learning with and through engagement with one another. When commenting on others' projects, try to offer constructive feedback and suggestions that help them improve it.
 
Be sensitive. This is a global forum with participants from many different cultures and backgrounds. Be sensitive when discussing race, religion, gender, sexual orientation, or controversial topics since others may be more sensitive about them than you are.
 
Post appropriately. Content that violates the Terms of Service is not permitted. You may not post inappropriate (e.g. pornographic) or copyrighted content, advertise or promote outside products or organizations, or spam the forums with repeated content.
 
Users that repeatedly post inappropriate content (see above) may lose their posting privileges, at the discretion of the course staff.
 
Please help us create a healthy learning environment by respecting these standards. We do not expect to see many of these issues because we trust students like you to keep our forum communities strong and healthy.
 
In addition, please consider the following guidelines when posting in the course forums. These guidelines were created to serve the community and make the forums welcoming and easy to use. If you have other suggestions to add, please let us know!

FORUM POSTING GUIDELINES

What makes a good post? The main goal of the forums is to provide a place where dialogue can build as the collective learning community digs into this content together. The forums are there for all learners to have a deeper, more meaningful learning experience, but there are a few things to consider when posting in the course forums:
 
Read before posting. Your comment or question should build on what’s already been discussed. If you have a question, scan through to see if it’s already been addressed and use the search function to avoid creating duplicate threads and find the most appropriate topic thread to post in.
 
Use informative titles. Keep your post titles short and on-topic so the forums are easier to navigate. If you’re asking a question, it should go in the title.
 
Make it easy to read. Present facts and background in your post. Don’t capitalize or bold entire sentences since this makes the forums harder to read. Check your posts for spelling or grammatical errors.
 
Stay on topic. Don’t change the topic of a thread or split a thread into multiple discussions. If you are discussing something that is not directly related to the course materials, pick one thread instead of discussing over multiple threads. And please, don’t post the same post/question in more than one forum.
 
Help keep the site friendly. Any comment which is mean, insulting, too violent, or otherwise inappropriate will be removed by the staff. 
 
Thanks for keeping the conversation lively and respectful!",Shu-Yi,admin,,,2345/discussion/129717
https://us.edstem.org/courses/2345/discussion/129718,post,How to Manage Your Online Learning?,General,,3,False,2020-09-21T11:09:44.833321+10:00,"Picture source: https://www.learningtimes.com/what-we-do/online-conferences/case-study-ioc/

",Shu-Yi,admin,,,2345/discussion/129718
https://us.edstem.org/courses/2345/discussion/129720,post,"What is ""Weekly Reflection"" ?",General,,0,False,2020-09-21T11:12:46.958272+10:00,"

What is Weekly Reflection?

Weekly Reflection module is designed to help you build a habit of planning your study of the upcoming week. 

It includes 3 sections:

Course Progress*: Review your learning records and self-evaluate your learning progress to adjust your learning strategies

Study Planning*: Set learning goals, to-do tasks and reminders 

Study Tip: comics with some wisdoms to share 



It locates in the beginning of each week and you have to complete Weekly Review before proceeding to the course videos. Click here to checkout the Weekly Review Tutorial. 





Let us know if you have any questions!



p.s The Course Progress and Study Planning are only available for the verified track learners. ",Shu-Yi,admin,,,2345/discussion/129720
https://us.edstem.org/courses/2345/discussion/129720?comment=329950,post,"What is ""Weekly Reflection"" ?",General,,0,False,2020-09-24T10:08:32.892558+10:00,"i am on the verified track; however, the study planning and study tips did not open for me.  Please let me know how i can access these.",tierneyjyoung,,Shu-Yi,admin,2345/discussion/129720
https://us.edstem.org/courses/2345/discussion/129720?comment=330232,post,"What is ""Weekly Reflection"" ?",General,,0,False,2020-09-24T12:06:11.746881+10:00,"Hi there, 

I inspected your account and it seems that you have the study planning and the learning tips page showing correctly. Course Progress is under construction and we are working on restoring it. Sorry for the trouble. ",Shu-Yi,admin,tierneyjyoung,,2345/discussion/129720
https://us.edstem.org/courses/2345/discussion/129720?comment=333276,post,"What is ""Weekly Reflection"" ?",General,,0,False,2020-09-26T06:37:23.546893+10:00,Which browser are you using?  Maybe it does not work for chrome.  These pages still do not open for me.  see attached,tierneyjyoung,,Shu-Yi,admin,2345/discussion/129720
https://us.edstem.org/courses/2345/discussion/129720?comment=333286,post,"What is ""Weekly Reflection"" ?",General,,0,False,2020-09-26T06:50:22.342796+10:00,"Hi, Apologizing that weekly review is a beta version we are.launching and.currently it is down for repairment. I will keep you posted when it is working. Sorry for the inconvenience. ",Shu-Yi,admin,tierneyjyoung,,2345/discussion/129720
https://us.edstem.org/courses/2345/discussion/129720?comment=363594,post,"What is ""Weekly Reflection"" ?",General,,0,False,2020-10-13T09:24:30.70975+11:00,is this working yet?  I am still getting the error messages as seen in the screen shots shown above from 17 days ago.,tierneyjyoung,,Shu-Yi,admin,2345/discussion/129720
https://us.edstem.org/courses/2345/discussion/129720?comment=363634,post,"What is ""Weekly Reflection"" ?",General,,0,False,2020-10-13T09:48:02.184875+11:00,"Hi Tiereyjyoung, 

Weekly Reflection starts to operate in W2. Here is the screenshot I got when inspecting your account. Pls let   me know if you have trouble viewing it. Thanks. 

",Shu-Yi,admin,tierneyjyoung,,2345/discussion/129720
